Temp,Humidity,Presure,Label
32.82,57.72,1012.51,blazing_sun
32.82,57.77,1012.49,blazing_sun
32.83,57.83,1012.48,blazing_sun
32.84,57.77,1012.49,blazing_sun
32.84,57.65,1012.48,blazing_sun
32.84,57.56,1012.49,blazing_sun
32.81,57.68,1012.49,blazing_sun
32.81,57.73,1012.5,blazing_sun
32.79,57.94,1012.48,blazing_sun
32.8,58.07,1012.46,blazing_sun
32.81,58.11,1012.46,blazing_sun
32.83,58.04,1012.47,blazing_sun
32.83,57.9,1012.46,blazing_sun
32.84,57.88,1012.5,blazing_sun
32.84,57.71,1012.46,blazing_sun
32.7,58.22,1012.48,blazing_sun
32.7,58.31,1012.5,blazing_sun
32.71,58.39,1012.5,blazing_sun
32.74,57.82,1012.51,blazing_sun
32.76,57.42,1012.52,blazing_sun
32.78,57.08,1012.52,blazing_sun
32.79,56.87,1012.53,blazing_sun
32.81,56.97,1012.54,blazing_sun
32.81,57.27,1012.52,blazing_sun
32.81,57.22,1012.54,blazing_sun
32.82,56.82,1012.5,blazing_sun
32.82,56.95,1012.48,blazing_sun
32.81,57.2,1012.47,blazing_sun
32.79,57.31,1012.51,blazing_sun
32.8,57.45,1012.52,blazing_sun
32.78,57.47,1012.47,blazing_sun
32.76,57.87,1012.46,blazing_sun
32.75,57.67,1012.46,blazing_sun
32.76,58,1012.48,blazing_sun
32.77,57.68,1012.49,blazing_sun
32.78,57.44,1012.51,blazing_sun
32.79,57.34,1012.51,blazing_sun
32.79,57.36,1012.49,blazing_sun
32.76,57.37,1012.48,blazing_sun
32.73,57.52,1012.49,blazing_sun
32.68,57.66,1012.48,blazing_sun
32.7,57.61,1012.5,blazing_sun
32.73,57.59,1012.49,blazing_sun
32.75,57.57,1012.47,blazing_sun
32.77,57.53,1012.48,blazing_sun
32.77,57.57,1012.5,blazing_sun
32.77,57.65,1012.47,blazing_sun
32.75,57.69,1012.45,blazing_sun
32.74,57.5,1012.48,blazing_sun
32.73,57.46,1012.48,blazing_sun
32.73,57.38,1012.47,blazing_sun
32.74,57.34,1012.47,blazing_sun
32.75,57.37,1012.45,blazing_sun
32.76,57.44,1012.5,blazing_sun
32.77,57.53,1012.45,blazing_sun
32.77,57.74,1012.48,blazing_sun
32.75,58.12,1012.46,blazing_sun
32.73,58.05,1012.48,blazing_sun
32.75,57.97,1012.46,blazing_sun
32.75,57.83,1012.42,blazing_sun
32.73,57.58,1012.43,blazing_sun
32.7,57.31,1012.41,blazing_sun
32.7,57.64,1012.42,blazing_sun
32.71,57.45,1012.42,blazing_sun
32.73,57.27,1012.4,blazing_sun
32.76,57.18,1012.42,blazing_sun
32.76,57.36,1012.45,blazing_sun
32.77,57.32,1012.44,blazing_sun
32.78,57.26,1012.42,blazing_sun
32.78,57.16,1012.43,blazing_sun
32.77,57.18,1012.4,blazing_sun
32.79,57.17,1012.38,blazing_sun
32.8,57.17,1012.4,blazing_sun
32.8,57.22,1012.4,blazing_sun
32.8,57.36,1012.41,blazing_sun
32.8,57.52,1012.42,blazing_sun
32.8,57.67,1012.44,blazing_sun
32.78,58.01,1012.38,blazing_sun
32.78,57.8,1012.41,blazing_sun
32.77,57.71,1012.41,blazing_sun
32.77,57.49,1012.44,blazing_sun
32.77,57.23,1012.39,blazing_sun
32.77,57.01,1012.43,blazing_sun
32.76,56.81,1012.43,blazing_sun
32.76,56.81,1012.41,blazing_sun
32.74,57.15,1012.41,blazing_sun
32.68,57.5,1012.42,blazing_sun
32.67,57.74,1012.39,blazing_sun
32.63,57.52,1012.38,blazing_sun
32.63,57.35,1012.4,blazing_sun
32.65,57.49,1012.38,blazing_sun
32.65,57.68,1012.39,blazing_sun
32.66,57.7,1012.39,blazing_sun
32.66,57.91,1012.38,blazing_sun
32.66,57.97,1012.38,blazing_sun
32.66,57.73,1012.36,blazing_sun
